NR;PLOEG;REEKS 1;REEKS 2;REEKS 3;REEKS 4;REEKS 5;REEKS 6;REEKS 7;REEKS 8;REEKS 9;REEKS 10;REEKS 11;REEKS 12;TOT.
;MAXIMUM;30;30;30;30;30;20;30;30;30;30;20;20;330
1;A Huge Evergrowing Pulsating Brain That Rules From The Centre Of The UltraWorld - In Dub;18;16;21;11;15;8;23;20;25;22;7;18;204
2;Zotte Bende;14;17;15;13;9;9;18;12;14;15;3;14;153
3;Zazawie;22;22;24,5;17;23;14;29;24;26;24;7;20;252,5
4;De Stijlpaardroggen;17;16;23;15;14;7;19;22;20;16;5;16;190
5;De Ratata's;;;;;;;;;;;;;0
6;Paris Hilton Look-a-likes;29;26;30;25;25;15;30;28;27;28;16;20;299
7;The Astrid Bryan Addams Family Massacre;22;22;28;14;22;15;24;25;27;24;9;19;251
8;Willy's en Minetten;25;21;23;20;22;8;30;26;23;27;14;20;259
9;Four sLEEpless Horsemen of the Apocalypse;24;25;28;24;29;10;27;28;27;27;16;20;285
10;Paars-Groen;;;;;;;;;;;;;0
11;Flying Foxes;23;20;21;16;18;10;22;19;27;26;11;20;233
12;Rock Monsieur;27;26;30;26;27;15;29;28;27;28;18;20;301
13;Country Trash;26;23;24;27;29;14;27;28;27;24;12;20;281
14;Gagy Lada;21;16;24;14;14;11;25;22;23;21;10;20;221
15;Koevoet is beter dan Boullie;24;23;28;26;26;13;26;29;28;26;14;20;283
16;Los Locos;23;24;28;24;27;16;29;28;27;21;12;19;278
17;De Stimpy's;26;27;29;26;25;15;28;30;25;28;12;20;291
18;Bruce Horny & the Rest;28;27;26;26;26;17;30;30;27;30;17;20;304
19;The Holly's;28;24;26;24;25;13;29;30;25;21;11;20;276
20;Pohrebny Sluzba;24;24;25;13;17;10;23;24;22;22;12;20;236
21;Green Onions;21;17;27;13;18;12;27;25;24;16;7;20;227
22;Curtiquiz;21;20;21;21;23;13;20;19;26;21;5;19;229
23;Goedkoop Zat In 't Halve Maantje;23;23;27;21;19;11;27;25;24;27;19;20;266
24;Dilly Boys;23;21;29;17;26;14;26;20;23;26;11;18;254
25;De Echte Ware Forummers;16;11;27;11;19;10;18;16;17;25;7;17;194
26;Starbuk & Apollo;28;26;29;27;23;16;29;28;27;24;15;20;292
27;Jan, Piet, Joris & Sam Gooris;28;25;29;29;28;15;30;28;27;28;17;20;304
28;3 Men and an Autist;18;13;23;8;13;12;23;22;23;20;9;16;200
29;De Plankierkaarters;24;21;30;20;28;10;27;25;25;26;13;20;269
30;Alcoholica;16;17;16;15;10;8;18;18;18;21;7;17;181
31;Popingers;28;26;25;24;27;16;29;26;25;26;15;20;287
32;Testedoene;26;26;26;30;28;18;29;28;27;24;17;20;299
33;Hai, Rylegs;27;23;29;23;25;13;27;29;26;23;12;20;277
34;Scary Monsters;29;26;29;29;27;19;29;30;30;30;18;20;316
35;Dirty Metal Maniacs;14;18;18;12;11;9;21;25;23;24;3;16;194
36;De Druuge Kelen;14;17;14;9;18;12;21;27;23;20;4;18;197
37;De Klinke;24;22;25;26;24;15;25;27;27;20;6;20;261
38;A Tribe Called Wuk Est;24;21;28;22;27;17;27;25;27;25;17;20;280
39;Beuzak Henry;21;20;19;19;18;9;24;24;23;23;2;20;222
40;New Wave Party Aalst;22;24;24;28;15;10;27;25;23;28;7;20;253
41;Lou Reed in velo;26;22;21;21;19;16;28;24;23;23;16;20;259
42;The Return of the Dolly Dots Dot Com;20;21;24;15;14;8;24;24;22;24;7;20;223
43;Thijs en zijn Wilde Wijven;19;13;17;15;12;5;21;20;23;25;2;18;190
44;Cevisten;17;17;22;24;20;10;25;27;23;24;10;19;238
45;Wegaandekwiniewinnenmawenaleikleutegehad;18;19;23;15;22;13;26;19;20;24;11;18;228
46;The Crazy Dobbelstientses;;;;;;;;;;;;;0
47;Guess Who;29;26;28;24;29;16;30;28;27;24;16;20;297
48;Sympathie voor den Duvel;27;25;29;27;29;14;28;26;28;27;19;20;299
49;Die Schmetterlinge;19;18;22;11;15;13;20;19;27;24;10;18;216
50;Team Myforce;15;12;22;11;18;6;21;13;25;23;6;15;187
51;Silly Wommers;23;24;25;21;18;11;26;16;17;24;12;19;236
52;The Interpreters;;;;;;;;;;;;;0
53;13th Floor Elevators;25;21;26;26;25;13;27;21;26;25;12;20;267
54;Steepledeugnieten;18;16;20;6;14;9;20;16;17;15;5;19;175
55;Ken Lee, a libu dibu dahouoe!;15;16;20;10;20;8;17;13;21;21;8;20;189
56;Lord Googoo;21;8;18;12;10;10;20;17;19;17;3;18;173
57;Space Lord Motherfuckers;16;16;21;14;24;11;22;21;25;22;1;17;210
58;VZW ALARM ;;;;;;;;;;;;;0
59;Judas Age;15;18;20;15;13;7;24;14;17;21;7;18;189
